#CNES;CNPJ;NO_FANTASIA;UF;MUNICIPIO;DS_TIPO_UNIDADE;ACREDITACAO;ACREDITADORA
9065946;6047087002697;HOSPITAL COPA STAR;RJ;Rio de Janeiro;HOSPITAL GERAL;JCI;CBA
2079089;60884855000316;HOSP 9 DE JULHO;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
2079542;60678604000113;MATERNIDADE SANTA JOANA;SP;São Paulo;HOSPITAL ESPECIALIZADO;JCI;CBA
255661;60884855003331;IMPAR SERVICOS HOSPITALARES FILIAL SANTA PAULA;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
2076950;60726502000126;HOSPITAL OSWALDO CRUZ;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
2521385;84694405000167;HOSPITAL DONA HELENA;SC;Joinville;HOSPITAL GERAL;JCI;CBA
9696733;16676520000825;HOSPITAL MATER DEI SA BETIM;MG;Betim;HOSPITAL GERAL;JCI;CBA
7684878;16676520000582;HOSPITAL MATER DEI S A UNIDADE CONTORNO;MG;Belo Horizonte;HOSPITAL GERAL;JCI;CBA
27995;16676520000159;HOSPITAL MATER DEI S A MATRIZ;MG;Belo Horizonte;HOSPITAL GERAL;JCI;CBA
3814378;2284062001501;CARDIO PULMONAR DA BAHIA;BA;Salvador;HOSPITAL GERAL;JCI;CBA
3006522;92685833000151;HOSPITAL MOINHOS DE VENTO;RS;Porto Alegre;HOSPITAL GERAL;JCI;CBA
3037274;60678604000202;PRO MATRE PAULISTA;SP;São Paulo;HOSPITAL ESPECIALIZADO;JCI;CBA
6614426;61213674000240;HOSPITAL INFANTIL SABARA;SP;São Paulo;HOSPITAL ESPECIALIZADO;JCI;CBA
2708566;45399961000230;HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO;SP;Sorocaba;HOSPITAL GERAL;JCI;CBA
2089696;67185694000150;HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP;SP;São Paulo;HOSPITAL ESPECIALIZADO;JCI;CBA
2058391;60765823000130;HOSPITAL ISRAELITA ALBERT EINSTEIN;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
3005992;6047087000996;HOSPITAL COPA DOR;RJ;Rio de Janeiro;HOSPITAL GERAL;JCI;CBA
9570047;26947257000149;HOSPITAL BDW;RS;Porto Alegre;HOSPITAL GERAL;JCI;CBA
3824802;6047087000309;SAO LUIZ UNIDADE MORUMBI;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
6878318;76659820002367;HOSPITAL MARCELINO CHAMPAGNAT;PR;Curitiba;HOSPITAL GERAL;JCI;CBA
6430120;61599908001553;BP MIRANTE;SP;São Paulo;HOSPITAL ESPECIALIZADO;JCI;CBA
2688611;6047087000210;SAO LUIZ UNIDADE ITAIM;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
2089238;8100676000592;HOSPITAL ALVORADA MOEMA;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
5907594;6047087000139;HOSP SAO LUIZ ANALIA FRANCO;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
2332809;84154608000160;HOSPITAL PORTO DIAS;PA;Belém;HOSPITAL ESPECIALIZADO;JCI;CBA
3007847;88625686002443;HOSPITAL MAE DE DEUS;RS;Porto Alegre;HOSPITAL GERAL;JCI;CBA
9727353;31635857000616;DF STAR;DF;Brasília;HOSPITAL GERAL;JCI;CBA
2522101;1880344000103;HOSPITAL SANTA CATARINA;SC;Blumenau;HOSPITAL GERAL;JCI;CBA
2081288;60453024000390;HOSPITAL DO CORACAO;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
9735372;28290788000137;HOSPITAL VILA NOVA STAR;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
2517140;6047087009276;HOSPITAL MEMORIAL SAO JOSE;PE;Recife;HOSPITAL GERAL;JCI;CBA
2084376;29435005002687;HOSPITAL PAULISTANO;SP;São Paulo;HOSPITAL GERAL;JCI;CBA
